class,person ,motorcycle,car,airplane,bus,boat,stop_sign,snowboard,umbrella,sports_ball,baseball_bat,bed,tennis_racket,suitcase
person ,26,41,0,24,23,37,13,32,33,14,40,41,9,38
motorcycle,2,9,21,41,47,29,32,23,5,30,38,39,46,36
car,44,7,41,32,14,46,33,44,3,49,36,39,13,36
airplane,3,19,3,35,25,0,43,32,24,27,9,35,26,0
bus,24,12,16,25,50,37,6,9,10,39,38,45,26,22
boat,7,6,49,36,42,10,48,1,15,42,44,50,20,9
stop_sign,11,14,29,13,15,1,18,27,3,13,8,4,11,45
snowboard,27,32,17,6,50,23,25,16,41,4,31,15,7,47
umbrella,49,1,37,48,35,20,25,35,11,23,24,29,11,2
sports_ball,1,42,15,6,40,18,21,42,4,32,19,14,39,11
baseball_bat,38,44,31,16,45,27,34,19,19,41,33,4,25,39
bed,3,38,21,19,4,1,48,49,19,34,10,24,46,37
tennis_racket,49,29,22,18,2,7,47,15,17,43,14,0,43,13
suitcase,12,15,14,36,29,11,50,2,20,26,12,0,22,37
