,d_person,d_motorcycle,d_car,d_airplane,d_bus,d_boat,d_stop_sign,d_snowboard,d_umbrella,d_sports_ball,d_baseball_bat,d_bed,d_tennis_racket,d_suitcase
person,30,0,0,0,0,0,0,0,0,0,0,0,0,0
motorcycle,0,2,0,0,0,0,0,0,0,0,0,0,0,0
car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
airplane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stop_sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0
umbrella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sports_ball,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseball_bat,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tennis_racket,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suitcase,0,0,0,0,0,0,0,0,0,0,0,0,0,0
